country_code,gdp_data_level,gdp_domain,year,gdp
SYR,national,national,2012,1269.1753
SYR,national,national,2013,853.21729
SYR,national,national,2014,751.57831
SYR,national,national,2015,750.33582
SYR,national,national,2016,658.58069
SYR,national,national,2017,758.61377
SYR,national,national,2018,846.9422
SYR,national,national,2019,871.23022
SYR,national,national,2020,631.0556
SYR,national,national,2021,623.90643
SYR,national,national,2022,634.2522
SYR,national,national,2023,596.520938737895
SYR,national,national,2024,561.898058746801
SYR,national,national,2025,535.598230747511
SYR,national,national,2026,426.035115841569
SYR,national,national,2027,373.849179828392
SYR,national,national,2028,NA
SYR,national,national,2029,NA
SYR,national,national,2030,NA
TCA,national,national,2011,25215.8650392422
TCA,national,national,2012,23975.034869719
TCA,national,national,2013,23132.9846383537
TCA,national,national,2014,24145.8283072302
TCA,national,national,2015,25736.101625461
TCA,national,national,2016,26370.3822681677
TCA,national,national,2017,24681.724417852
TCA,national,national,2018,25034.1163096131
TCA,national,national,2019,25382.1833321986
TCA,national,national,2020,18073.2852240745
TCA,national,national,2021,19331.2436023591
TCA,national,national,2022,20259.3160723391
TCA,national,national,2023,20346.6552687741
TCD,national,national,1960,556.410974884483
TCD,national,national,1961,552.927968383641
TCD,national,national,1962,570.888731518261
TCD,national,national,1963,550.437733422396
TCD,national,national,1964,525.815383558217
TCD,national,national,1965,518.539510735879
TCD,national,national,1966,499.301578607083
TCD,national,national,1967,493.436872964327
TCD,national,national,1968,481.6105174758
TCD,national,national,1969,504.476373164192
TCD,national,national,1970,503.283215178759
TCD,national,national,1971,481.700060089825
TCD,national,national,1972,476.482931287022
TCD,national,national,1973,426.401364383199
TCD,national,national,1974,437.413638075291
TCD,national,national,1975,466.65612367778
TCD,national,national,1976,471.063577003181
TCD,national,national,1977,472.654630543573
TCD,national,national,1978,461.935658366348
TCD,national,national,1979,355.318834738027
TCD,national,national,1980,333.085913914995
TCD,national,national,1981,336.149836771895
TCD,national,national,1982,337.866168645107
TCD,national,national,1983,371.949547390403
TCD,national,national,1984,374.603793045139
TCD,national,national,1985,451.663504628142
TCD,national,national,1986,420.456662542463
TCD,national,national,1987,396.282320672438
TCD,national,national,1988,442.400105015875
TCD,national,national,1989,448.543347709338
TCD,national,national,1990,418.073577118017
TCD,national,national,1991,437.462532768457
TCD,national,national,1992,452.837955096819
TCD,national,national,1993,372.8025112816
TCD,national,national,1994,401.253269860237
TCD,national,national,1995,388.702782263829
TCD,national,national,1996,380.096965706397
TCD,national,national,1997,387.959417945816
TCD,national,national,1998,400.89675561707
TCD,national,national,1999,384.413940597204
TCD,national,national,2000,368.078261898703
TCD,national,national,2001,397.356889219968
TCD,national,national,2002,416.339854809106
TCD,national,national,2003,458.923045624901
TCD,national,national,2004,586.537221681774
TCD,national,national,2005,661.008702427265
TCD,national,national,2006,641.784341007243
TCD,national,national,2007,640.337914179992
TCD,national,national,2008,637.193939261993
TCD,national,national,2009,640.760736157705
TCD,national,national,2010,702.835158960433
TCD,national,national,2011,679.01873437328
TCD,national,national,2012,713.813698623546
TCD,national,national,2013,728.044325802741
TCD,national,national,2014,750.984908083218
TCD,national,national,2015,747.588448455507
TCD,national,national,2016,679.167834353956
TCD,national,national,2017,637.440946195503
TCD,national,national,2018,631.014596004206
TCD,national,national,2019,630.861050028594
TCD,national,national,2020,601.325555951846
TCD,national,national,2021,574.17448671329
TCD,national,national,2022,570.220902592433
TCD,national,national,2023,567.181912180859
TCD,national,national,2024,568.92809163377
TCD,national,national,2025,569.117666108918
TCD,national,national,2026,579.649152096733
TCD,national,national,2027,588.528919184024
TCD,national,national,2028,591.25527828394
TCD,national,national,2029,592.071841969483
TCD,national,national,2030,592.972623207836
TGO,national,national,1960,449.342571123456
TGO,national,national,1961,495.260470360098
TGO,national,national,1962,504.980902456275
TGO,national,national,1963,520.58164440682
TGO,national,national,1964,582.294454390453
TGO,national,national,1965,654.061732972202
TGO,national,national,1966,691.451959641266
TGO,national,national,1967,701.203612884496
TGO,national,national,1968,706.573764739944
TGO,national,national,1969,752.502896802327
TGO,national,national,1970,744.017512363706
TGO,national,national,1971,720.521016300951
TGO,national,national,1972,753.67150790579
TGO,national,national,1973,762.218127277909
TGO,national,national,1974,779.009571600141
TGO,national,national,1975,778.537116054192
TGO,national,national,1976,744.302164516937
